المكونة;المنحة;نسبة المنحة للصنف أ;نسبة المنحة للصنف ب ;نسبة المنحة لشركات الاحياء والشركات الأهلية
بعنوان انجاز عمليات الاستثمار المباشر في القطاعات ذات الأولوية في الأنشطة الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الفلاحية;30%;15%;30%
بعنوان إنجاز عمليات إستثمار مباشر في القطاعات ذات الأولوية في أنشطة الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الصيد البحري;30%;15%;30%
بعنوان إنجاز عمليات إستثمار مباشر في القطاعات ذات الأولوية في أنشطة التربية الأحياء المائية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة تربية الأحياء المائية;30%;15%;0%
إضفاء قيمة مضافة للمنتوجات الفرعية النباتية أو الحيوانية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
التلقيح الصناعي;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
خدمات العيادات و المصحات البيطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
خدمات المخابر الفلاحية البيطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الاستشارات الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
جمع الحليب;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
جمع و خزن الحبوب;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
تكييف البذور و تسويقها ;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
تحضير الأرض و الجني و الحصاد و العناية و حماية النباتات;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الرش الجوي بالأدوية للزراعات و الغراسات الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
حفر الأبارو التقنيات المائية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
خزن الأعلاف الخشنة المنتجة محليا;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الوحدات المتنقلة للتصرف في الشبكات المائية الفلاحية و صيانتها;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الوحدات المتنقلة لصيانة المعدات الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
الوحدات المتنقلة لمداوات النباتات و التويدج الميداني بمستلزمات انتاج و جني المحاصيل;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
النقل المبرد للمنتجات الفلاحية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة الخدمات المرتبطة بالفلاحة;0%;15%;0%
تركيب تجهيزات و آلات الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
توزيع منتجات الصيد البحري عبر مسالك مندمجة;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
تحاليل تكنلوجية و كيمياوية و بيطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
صنع قشور الثلج;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
النقل المبرد لمنتوجات الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
تنظيف مستلزمات ووسائل الانتاج;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
الوحدات المتنقلة لصيانة تجهيزات و معدات الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;15%;0%
تصنيع الحليب الطازج في مناطق الإنتاج;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
إنتاج الأجبان من الحليب الطازج المحلي;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
تصبير و نصف تصبير الغلال و الخضر و منتجات الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
نصف تصبير زيتون المائدة بطرق عصرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
إنتاج مشتقات الطماطم;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
استخراج الزيوت الروحية و العطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
تكييف منتجات الفلاحة و الصيد البحري;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
معاصر زيت الزيتون;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
تعليب زيت الزيتون;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
تحويل البيض;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
إنتاج الأغذية البيولوجية المكيفة و المحولة;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
إنتاج عصير الغلال الطازجة;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
مذابح و مسالخ صناعية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
وحدات تحويل اللحوم;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
نشر و تكييف المنتجات الغابية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية في الأنشطة التحويل الأولي لمنتجات الفلاحةو الصيد البحري;0%;15%;0%
بعنوان  إنجاز عمليات الإستثمار المباشر في المنظومات الاقتصادية في منظومة الزراعات الجيو حرارية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية ف بعنوان إنجاز عمليات الاستثمار المباشر في المنظومات الإقتصادية ;15%;15%;15%
بعنوان  إنجاز عمليات الإستثمار المباشر في المنظومات الاقتصادية في منظومة النباتات الطبية و العطرية;منحة الترفيع في القيمة المضافة و القدرة التنافسية بعنوان إنجاز عمليات إستثمار مباشر  في القطاعات ذات الأولوية ف بعنوان إنجاز عمليات الاستثمار المباشر في المنظومات الإقتصادية ;15%;15%;15%
تجهيزات التصميم;الاستثمارات المادية للتحكم في التكنلوجيا الحديثة;55%;50%;60%
محطات التصرف في الانتاج باعتماد الحاسوب;الاستثمارات المادية للتحكم في التكنلوجيا الحديثة;55%;50%;60%
تجهيزات المخابر;الاستثمارات المادية للتحكم في التكنلوجيا الحديثة;55%;50%;60%
إقتناء الجرارات الفلاحية و توابعها و ألات جني الزيتون;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
اقتناء الالات و المعدات الضرورية للإقتصاد في مياه الري و تحسين نوعيتها و التحكم في تقنيات الري و التسميد;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
تجهيزات المخابر;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
إنجاز أشغال حفظ المياه و أديم الأرض;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 إنتاج البذور وإكثارها;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 احداث المروج والمراعي والمساحات المزروعة والمعدة للرعي وغراسة الشجيرات العلفية والغابية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 التجهيزات والآلات والوسائل الخصوصية الضرورية للإنتاج وفق الطريقة البيولوجية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
تركيز شباك واقية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
تركيز وحدات انتاج الكهرباء باستعمال الطاقات المتجددة في قطاع الفلاحة والصيد البحري وتربية الأحياء المائية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
التجهيزات والوسائل الخصوصية الضرورية لانتاج المستسمد وتثمين المخلفات الزراعية والحيواتية العضوية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 تجديد الغراسات الهرمة من الزياتين والأشجار المثمرة;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 استصلاح الاراضي وتحسين خصوبة الارض وردم الواحات ومنشآت تجميع مياه الامطار;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 التجهيزات والمعدات الخاصة بالبيوت الحامية المتعددة الأقبية والبيوت الحامية من صنف كاناري;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 اقتناء تجهيزات ومعدات تدقيق ميدانية لترشيد إستعمال المدخلات الفلاحية والتحكم في الجودة;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
تجهيزات ومعدات التحكم في الرطوبة والحرارة داخل بناءات ومنشئات الانتاج ;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 التجهيزات والوسائل الخصوصية لانتاج المشاتل الغابية والرعوية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
تجهيزات الحلب وتجهيزات تبريد الحليب على مستوى الضيعة;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 تجهيزات التبريد والتجميد على المتن;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
  آلات صنع قشور الثلج على المتن;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 أجهزة الاستكشاف في الصيد البحري;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
الأجهزة الطرفية للمتابعة عبر الأقمار الإصطناعية في الصيد البحري;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
غرف وحاويات عازلة لحفظ المنتوج على المتن;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 معدات صيد بحري إنتقائية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
موزع آلي للأعلاف الخاص بمشاريع تربية الأحياء المائية;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
موزع آلي للأكسيجين بمنشآت تربية الأحياء المائية بالأحواض;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 غراسة الزيتون الجديدة;الاستثمارات المادية للتحسين الإنتاجية;55%;50%;60%
 التحاليل المخبرية للمنتوج قصد اثبات مطابقته للمواصفات;الاستثمارات اللامادية;50%;50%;50%
تصميم وتسجيل العلامات التجارية للمنتجات الفلاحية;الاستثمارات اللامادية;50%;50%;50%
 وضع نظام علامات مثبتة للأصل ولامات بيان المصدر وغيرها;الاستثمارات اللامادية;50%;50%;50%
 تركيز نظام استرسال للمنتجات الفلاحية;الاستثمارات اللامادية;50%;50%;50%
 مصاريف الدراسات ;الاستثمارات اللامادية;50%;50%;50%
 مصاريف المرافقة والتأطير;الاستثمارات اللامادية;50%;50%;50%
 استغلال براءات الإختراع;الاستثمارات اللامادية;50%;50%;50%
المساعدة في ميدان التسويق;الاستثمارات اللامادية;50%;50%;50%
 تركيز نظام استرسال للمنتجات الفلاحية;الاستثمارات اللامادية;50%;50%;50%
 المساعدة الفنية في التصنيع باعتماد الحاسوب، التصرف في الصيانة...;الاستثمارات اللامادية;50%;50%;50%
 الدراسات الأولية اللازمة لتطوير منتوجات أو نماذج إنتاج جديدة;البحث و التطوير;50%;50%;50%
 إنجاز نماذج والتجارب التقنية المتعلقة بها وكذلك التجارب الميداني;البحث و التطوير;50%;50%;50%
إقتناء التجهيزات العلمية للمخابر اللازمة لإنجاز مشاريع البحوث التنموية ;البحث و التطوير;50%;50%;50%
 براءات الإختراع;البحث و التطوير;50%;50%;50%
 تحويل البيض;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 إنتاج الأجبان من الحليب الطازج المحلي;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 تصبير ونصف تصبير الغلال والخضر ومنتجات الصيد البحري;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 نصف تصبير الزيتون المائدة بطرق عصرية;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
إنتاج مشتقات الطماطم;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
استخراج الزيوت الروحية والعطرية;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
تكييف منتجات الفلاحة والصيد البحري;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
معاصر زيت الزيتون;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 تعليب زيت الزيتون;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 إنتاج الأغذية البيولوجية المكيفة والمحولة;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 إنتاج عصير الغلال الطازجة;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 مذابح ومسالخ صناعية;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 وحدات تحويل اللحوم;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
 نشر وتحويل وتكييف المنتجات الغابية;منحة التنمية الجهوية في أنشطة  التحويل الأولي;0%;0%;0%
إضفاء قيمة إضافية للمنتوجات الفرعية النباتية أو الحيوانية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
التلقيح الإصطناعي;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 خدمات العيادات والمصحات البيطرية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
خدمات المخابر الفلاحية البيطرية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
الإستشارات الفلاحية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
جمع الحليب;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 جمع مخزن الحبوب;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 تكييف البذور وتسويقها;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 تحضير الأرض والجني والحصاد والعناية وحماية النباتات;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
لرش الجوي بالأدوية للزراعات والغراسات الفلاحية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
حفر الآبار والتنقيبات المائية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 خزن الأعلاف الخشنة المنتجة محليا;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 الوحدات المتنقلة للتصرف في الشبكات المائية الفلاحية وصيانتها;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 الوحدات المتنقلة لصيانة المعدات الفلاحية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
الوحدات المتنقلة لمداوات النباتات والتزويد الميداني بمستلزمات النتاج وجني المحاصيل;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 النقل المبرد للمنتوجات الفلاحية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالفلاحة;0%;0%;0%
 تركيب تجهيزات وآلات الصيد البحري;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
 توزيع منتوجات الصيد البحري عبر مسالك مندمجة;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
 تحاليل تكنولوجية وكيمياوية بيطرية;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
 صنع قشور الثلج;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
النقل المبرد لمنتوجات الصيد البحري;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
تنظيف مستلزمات ووسائل الإنتاج;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
الوحدات المتنقلة لصيانة تجهيزات ومعدات الصيد البحري;منحة التتنمية الجهوية في أنشطة الخدمات المرتبطة بالصيد البحري;0%;0%;0%
معالجة التلوث المائي والهوائي الناجم عن نشاط المؤسسة;منحة التنمية المستدامة بعنوان مقاومة التلوث وحماية البيئة;50%;50%;50%
 اعتماد التقنيات النظيفة والغير ملوثة;منحة التنمية المستدامة بعنوان مقاومة التلوث وحماية البيئة;50%;50%;50%
 التجهيزات الجماعية المشتركة لازالة التلوث ;منحة التنمية المستدامة بعنوان مقاومة التلوث وحماية البيئة;50%;50%;50%
